Name,City
Aaron S. Adams,City of Columbus
Adam Steiner,City of Columbus
Allan R. Radant,City of Wisconsin Dells
Amy Roelke,City of Columbus
Andrew Traxler,City of Columbus
Ann Groves Lloyd,City of Lodi
Ben Anderson,City of Wisconsin Dells
Bill Welch,City of Lodi
Brian Holzem,City of Wisconsin Dells
Brian K. Holzem,City of Wisconsin Dells
Christopher L. Crawley,City of Portage
Dan Anchor,City of Wisconsin Dells
Dar Mor,City of Wisconsin Dells
Dave Bomkamp,City of Columbus
David Murray,City of Wisconsin Dells
Dennis Nachreiner,City of Portage
Doug Klapper,City of Portage
Ed Fox,City of Wisconsin Dells
Ed Johnson,City of Columbus
Ed Wojnicz,City of Wisconsin Dells
Eric Hansen,City of Lodi
Eric Shimpach,City of Portage
Ian Gray,City of Columbus
James W. Ness,City of Lodi
Jami Hayes,City of Portage
Jason Theilen,City of Columbus
Jeff Garetson,City of Portage
Jeff Monfort,City of Portage
Jenny Perkins,City of Columbus
Jesse DeFosse,City of Wisconsin Dells
Jesse R. DeFosse,City of Wisconsin Dells
Jesse R. Defosse,City of Wisconsin Dells
Karen Melito,City of Portage
Karla J. Schultz,City of Lodi
Karyn Wetzel,City of Portage
Ken Detmer,City of Lodi
Mark Hahn,City of Portage
Martin Havlovic,City of Portage
Marty Havlovic,City of Portage
Mary E. Hamburg,City of Portage
Matthew Kenney,City of Columbus
Michael Clark,City of Columbus
Michael Freel,City of Wisconsin Dells
Michael G. Oszman,City of Portage
Michael Thom,City of Columbus
Mike Charles,City of Portage
Mike Freel,City of Wisconsin Dells
Mike McCabe,City of Columbus
Molly Finkler,City of Columbus
Paul Pyfferoen,City of Columbus
Paula Schumann,City of Columbus
Peter Tonn,City of Lodi
Regan Hendrickson,City of Columbus
Regan Rule,City of Columbus
Rich Stevenson,City of Lodi
Rick Dodd,City of Portage
Rick Royem,City of Columbus
Rita A. Maass,City of Portage
Rod Melotte,City of Columbus
Rodney Melotte,City of Columbus
Rog Severson,City of Lodi
Sarah Motiff,City of Columbus
Shelly Albright,City of Columbus
Steve Davidson,City of Columbus
Steven E. Davidson,City of Columbus
Susan Bauer Frye,City of Portage
Suzanne Miller,City of Lodi
Terry L. Marshall,City of Wisconsin Dells
Terry Marshall,City of Wisconsin Dells
Trina L. Reid,City of Columbus
Trina Reid,City of Columbus
William A. Kutzke,City of Portage
Carolyn Hamre,City of Portage
Chris Roelke,City of Columbus
Daniel Brunt,City of Portage
David P. Perrodin,City of Portage
Donna Tuttle,City of Columbus
Ed Jr. LaVigne,City of Portage
Eric Ravnikar,City of Columbus
J.D. Milburn,City of Columbus
Kyle Little,City of Portage
Kyler Royston,City of Wisconsin Dells
Lance E. DeJong,City of Portage
"Larry Herzog, Jr.",City of Columbus
Michael T. Mulhern,City of Portage
Nathan Anfinson,City of Columbus
Nathan R. Anfinson,City of Columbus
Paula M. Steiner,City of Columbus
Pete Adams,City of Columbus
Richard D. Lynn,City of Portage
Richard L. Beebe,City of Portage
Roger Sneath,City of Columbus
Troy Ryan,City of Wisconsin Dells