Organization Name,ID
Cambria-Friesland School District,129
City of Columbus,94
City of Lodi,95
City of Portage,96
City of Wisconsin Dells,97
Columbia County,139
Columbia County Circuit Court,140
Columbus School District,130
Fall River School District,131
Lodi School District,132
Pardeeville Area School District,133
Portage Community School District,134
Poynette School District,135
Randolph School District,136
Rio Community School District,137
Town of Arlington,108
Town of Caledonia,109
Town of Columbus,110
Town of Courtland,111
Town of Dekorra,112
Town of Fort Winnebago,113
Town of Fountain Prairie,114
Town of Hampden,115
Town of Leeds,116
Town of Lewiston,117
Town of Lodi,118
Town of Lowville,119
Town of Marcellon,120
Town of Newport,121
Town of Otsego,122
Town of Pacific,123
Town of Randolph,124
Town of Scott,125
Town of Springvale,126
Town of West Point,127
Town of Wyocena,128
Village of Arlington,98
Village of Cambria,99
Village of Doylestown,100
Village of Fall River,101
Village of Friesland,102
Village of Pardeeville,103
Village of Poynette,104
Village of Randolph,105
Village of Rio,106
Village of Wyocena,107
Wisconsin Dells School District,138